composante,variance_expliquee_%,variance_cumulee_%
CP1,9.78,9.78
CP2,6.32,16.1
CP3,5.57,21.67
CP4,5.05,26.72
CP5,4.3,31.02
CP6,4.05,35.07
CP7,3.85,38.92
CP8,3.56,42.48
CP9,3.44,45.92
CP10,3.33,49.25
CP11,3.17,52.42
CP12,3.01,55.43
CP13,2.84,58.27
CP14,2.68,60.95
CP15,2.58,63.54
CP16,2.44,65.98
CP17,2.39,68.37
CP18,2.28,70.64
CP19,2.23,72.87
CP20,2.14,75.01
CP21,2.0,77.01
CP22,1.9,78.91
CP23,1.81,80.72
CP24,1.78,82.5
CP25,1.69,84.19
CP26,1.6,85.79
CP27,1.54,87.33
CP28,1.51,88.83
CP29,1.4,90.23
CP30,1.28,91.51
CP31,1.22,92.73
CP32,1.17,93.9
CP33,1.11,95.01
CP34,0.99,95.99
CP35,0.91,96.91
CP36,0.77,97.68
CP37,0.74,98.42
CP38,0.59,99.01
CP39,0.37,99.38
CP40,0.27,99.65
CP41,0.19,99.84
CP42,0.16,100.0
