dataset,feature,method,score,abs_score,p_value
mat,failures,spearman,-0.361223517700282,0.361223517700282,1.2818799782347257e-13
mat,risk_index,spearman,-0.2782435673004365,0.2782435673004365,1.8669947869260757e-08
mat,Medu,spearman,0.2250358528745645,0.2250358528745645,6.290448010609436e-06
mat,parent_edu_index,spearman,0.21565287449412224,0.21565287449412224,1.536362359566895e-05
mat,age,spearman,-0.17343754686136573,0.17343754686136573,0.0005354721839153027
mat,higher_yes,spearman,0.17241788988098164,0.17241788988098164,0.0005780981697163278
mat,Fedu,spearman,0.17004900082627797,0.17004900082627797,0.0006895636032614371
mat,goout,spearman,-0.1661187496045088,0.1661187496045088,0.0009192641404671132
mat,schoolsup_yes,spearman,-0.15059795007026758,0.15059795007026758,0.0026934127720494457
mat,study_vs_social_index,spearman,0.14899591786658192,0.14899591786658192,0.0029931868186384115
mat,resource_ambition_count,spearman,0.1253953971595384,0.1253953971595384,0.012626346051867977
mat,Dalc,spearman,-0.12094448004589974,0.12094448004589974,0.016175100210280912
mat,traveltime,spearman,-0.12053038660352437,0.12053038660352437,0.016545913756784082
mat,alcohol_index,spearman,-0.11836584512201037,0.11836584512201037,0.018607733128939475
mat,social_life_index,spearman,-0.11184461273596892,0.11184461273596892,0.026229191543752656
mat,internet_yes,spearman,0.10781564360547292,0.10781564360547292,0.03217331316146161
mat,studytime,spearman,0.10516968678133246,0.10516968678133246,0.036673582871214104
mat,Walc,spearman,-0.10445859969861528,0.10445859969861528,0.037970377961224634
mat,romantic_yes,spearman,-0.09146002016744205,0.09146002016744205,0.06940434605481748
mat,paid_yes,spearman,0.06092375105714806,0.06092375105714806,0.22700081778315293
mat,famrel,spearman,0.05497687081409259,0.05497687081409259,0.27571074655736877
mat,famsup_yes,spearman,-0.05048208425620146,0.05048208425620146,0.3169379578773183
mat,health,spearman,-0.047789506549450154,0.047789506549450154,0.34347118660157205
mat,support_count,spearman,-0.04333031831985667,0.04333031831985667,0.39042478592992036
mat,nursery_yes,spearman,0.03175233548324077,0.03175233548324077,0.5292024790152149
mat,activities_yes,spearman,0.026089883252094874,0.026089883252094874,0.6051764847600255
mat,absences,spearman,0.017730669122425113,0.017730669122425113,0.7253626110680622
mat,freetime,spearman,-0.004993740953811285,0.004993740953811285,0.9211901023094022
por,failures,spearman,-0.4483603000808326,0.4483603000808326,2.0474600172120095e-33
por,risk_index,spearman,-0.4020148610948597,0.4020148610948597,1.3258254092175132e-26
por,higher_yes,spearman,0.3532177035363762,0.3532177035363762,1.6649379004681536e-20
por,Medu,spearman,0.2839252622852535,0.2839252622852535,1.6882115741599692e-13
por,parent_edu_index,spearman,0.28372647332401835,0.28372647332401835,1.7577743818584745e-13
por,studytime,spearman,0.2747118483356099,0.2747118483356099,1.0606240382701238e-12
por,resource_ambition_count,spearman,0.26426076383047936,0.26426076383047936,7.854821384983097e-12
por,study_vs_social_index,spearman,0.2579344140832928,0.2579344140832928,2.531188115336662e-11
por,Fedu,spearman,0.23463307676884482,0.23463307676884482,1.4436971801898009e-09
por,Dalc,spearman,-0.20839404489394756,0.20839404489394756,8.431899905202888e-08
por,alcohol_index,spearman,-0.19544517862605526,0.19544517862605526,5.223061503187775e-07
por,Walc,spearman,-0.17089524394497582,0.17089524394497582,1.2005527057374418e-05
por,absences,spearman,-0.15851002809372583,0.15851002809372583,4.991938518202622e-05
por,internet_yes,spearman,0.15706358251953695,0.15706358251953695,5.8563945213112066e-05
por,traveltime,spearman,-0.14694771585602492,0.14694771585602492,0.0001721280569674286
por,social_life_index,spearman,-0.13031093214601805,0.13031093214601805,0.0008761882598505465
por,freetime,spearman,-0.1283747689948354,0.1283747689948354,0.001046656603040365
por,health,spearman,-0.10567183020684638,0.10567183020684638,0.0070515855062092715
por,goout,spearman,-0.1049670307156981,0.1049670307156981,0.007443395180141
por,schoolsup_yes,spearman,-0.0874051794232092,0.0874051794232092,0.025970068523820763
por,activities_yes,spearman,0.08197331417241407,0.08197331417241407,0.036816031645018586
por,romantic_yes,spearman,-0.07191419805052414,0.07191419805052414,0.06711727164299029
por,age,spearman,-0.06627694804825776,0.06627694804825776,0.09159617449943055
por,paid_yes,spearman,-0.05664955754871894,0.05664955754871894,0.14942928311623796
por,nursery_yes,spearman,0.052453539799778535,0.052453539799778535,0.1820001342368622
por,famrel,spearman,0.04775528435737611,0.04775528435737611,0.22439024479973907
por,support_count,spearman,-0.034711285801461225,0.034711285801461225,0.37731840930388605
por,famsup_yes,spearman,0.029361574108281118,0.029361574108281118,0.45523308438154475
