dataset,model,feature,coef_standardized,odds_ratio
mat,logistic_context_only,goout,-0.45063681092486624,0.6372222323094623
mat,logistic_context_only,Fedu,0.3381443195566112,1.4023428743037665
mat,logistic_context_only,age,-0.2969729782247043,0.7430640910015557
mat,logistic_context_only,Medu,0.21734992999411792,1.24277891167413
mat,logistic_context_only,studytime,0.17871141325530207,1.195675638233627
mat,logistic_context_only,famrel,0.1463773852620497,1.1576329792515636
mat,logistic_context_only,freetime,0.05399679945848214,1.0554812240381952
mat,logistic_context_only,absences,0.01883818115960569,1.0190167391679654
mat,logistic_context_only,health,-0.011008198140242318,0.9890521703537323
mat,logistic_context_only,Walc,-0.0019289103087186895,0.9980729488431996
mat,logistic_with_G1_G2,G2,3.2779389947647513,26.521056297972557
mat,logistic_with_G1_G2,G1,1.801685147556328,6.059850607540594
mat,logistic_with_G1_G2,age,-0.5348021525267654,0.5857851747973649
mat,logistic_with_G1_G2,goout,-0.3062725616895017,0.7361859360255246
mat,logistic_with_G1_G2,famrel,0.2794489324052244,1.3224008792383277
mat,logistic_with_G1_G2,Fedu,0.2271956662422354,1.255075419807506
mat,logistic_with_G1_G2,absences,0.19683279206902193,1.217540441266596
mat,logistic_with_G1_G2,Walc,-0.13191135921744568,0.8764186780738514
mat,logistic_with_G1_G2,Medu,-0.09004399128228291,0.9138909811507917
mat,logistic_with_G1_G2,freetime,-0.04779405015355248,0.9533301050497315
mat,logistic_with_G1_G2,health,-0.020845535098014272,0.9793702312132373
mat,logistic_with_G1_G2,studytime,0.0031522389677071747,1.003157212497507
por,logistic_context_only,Fedu,0.44269189089183303,1.5568925676547998
por,logistic_context_only,studytime,0.3535459329057901,1.4241083988859975
por,logistic_context_only,Walc,-0.296412053938969,0.743481010615293
por,logistic_context_only,absences,-0.2475427439329693,0.7807168491890439
por,logistic_context_only,health,-0.24247975245569134,0.7846796352535617
por,logistic_context_only,Medu,0.21381795847073337,1.2383971945533754
por,logistic_context_only,freetime,-0.11664362604210886,0.8899022746560178
por,logistic_context_only,famrel,0.10680510894455823,1.1127173746824857
por,logistic_context_only,age,-0.031209001884593704,0.9692729720269235
por,logistic_context_only,goout,-0.028056169302318194,0.9723337499590107
por,logistic_with_G1_G2,G2,4.480935081290047,88.31721785441542
por,logistic_with_G1_G2,G1,1.5366558028806148,4.649017016171546
por,logistic_with_G1_G2,age,0.3613381221394886,1.4352486681946535
por,logistic_with_G1_G2,Fedu,0.3069745403037281,1.3593063601043596
por,logistic_with_G1_G2,studytime,0.19399688410438168,1.2140924999648386
por,logistic_with_G1_G2,absences,-0.1895478671729588,0.8273331138523655
por,logistic_with_G1_G2,health,-0.08955316283778195,0.9143396549414351
por,logistic_with_G1_G2,famrel,0.0835129603439452,1.0870993043824648
por,logistic_with_G1_G2,goout,-0.07635247178414575,0.9264895875628528
por,logistic_with_G1_G2,Walc,-0.055690333371575904,0.9458319831468216
por,logistic_with_G1_G2,freetime,-0.028253736921811403,0.972141667269963
por,logistic_with_G1_G2,Medu,-0.01201544352932803,0.9880564536652829
